ACC1390011,2021,56.43797755520922,2023-04-01,Debbra Bartoletti
ACC1390011,2021,47.20484181293148,2022-09-15,Debbra Bartoletti
ACC1390011,2022,57.31113619935335,2023-05-25,Debbra Bartoletti
ACC1390011,2021,49.41557216620089,2023-06-25,Debbra Bartoletti
ACC1390011,2021,21.088188203480726,2022-09-29,Debbra Bartoletti
ACC1390011,2022,50.45681431293313,2023-07-12,Debbra Bartoletti
ACC1687396,2022,53.15576744061785,2023-04-21,Dr. Sherwood Pollich
ACC1687396,2021,36.95408556648847,2022-10-24,Dr. Sherwood Pollich
ACC1687396,2021,14.02248319467739,2022-08-18,Dr. Sherwood Pollich
ACC1687396,2021,23.993513186827805,2023-05-27,Dr. Sherwood Pollich
ACC1687396,2021,81.72801775983945,2023-07-14,Dr. Sherwood Pollich
ACC1687396,2021,70.51279907939389,2022-09-14,Dr. Sherwood Pollich
